threads,iterations,wallclock,io_time,fsync_time,io_bytes,iop
1,50000,633.813974,18.993229,0.000000,51840000000,18000000
2,50000,371.972473,38.716682,0.000000,51840000000,18000000
3,50000,274.444894,60.856644,0.000000,51840000000,18000000
4,50000,223.558890,79.666870,0.000000,51840000000,18000000
5,50000,175.182292,119.257423,0.000000,51840000000,18000000
6,50000,147.978049,139.952362,0.000000,51840000000,18000000
7,50000,137.277757,134.503540,0.000000,51840000000,18000000
8,50000,114.676676,194.383911,0.000000,51840000000,18000000
9,50000,252.571344,55.344898,0.000000,51840000000,18000000
10,50000,226.489960,59.127464,0.000000,51840000000,18000000
11,50000,209.679694,54.659378,0.000000,51840000000,18000000
12,50000,190.619875,58.839153,0.000000,51840000000,18000000
