threads,iterations,wallclock,io_time,fsync_time,io_bytes,iop
1,4000,437.103469,364.974731,358.406616,4147200000,1440000
2,4000,245.366163,399.095306,391.495209,4147200000,1440000
3,4000,212.139191,527.374695,518.691101,4147200000,1440000
4,4000,178.862234,587.849854,578.038147,4147200000,1440000
5,4000,155.137315,637.092957,626.285828,4147200000,1440000
6,4000,141.861934,698.580933,686.311707,4147200000,1440000
7,4000,126.615275,718.055664,704.907288,4147200000,1440000
8,4000,139.142625,811.140381,797.479553,4147200000,1440000
9,4000,112.300761,842.086853,827.544922,4147200000,1440000
10,4000,102.949696,857.117798,842.287964,4147200000,1440000
11,4000,95.084040,866.261353,851.325745,4147200000,1440000
12,4000,99.148214,996.706543,981.264587,4147200000,1440000
